time_ms,channel,freq_mhz,samples,detected,occupancy_pct,alert,mode
74,1,2401.0,50,18,36,1,FULL
106,2,2402.0,50,16,32,1,FULL
139,3,2403.0,50,11,22,1,FULL
172,4,2404.0,50,12,24,1,FULL
204,5,2405.0,50,4,8,0,FULL
237,6,2406.0,50,1,2,0,FULL
301,8,2408.0,50,3,6,0,FULL
333,9,2409.0,50,4,8,0,FULL
365,10,2410.0,50,1,2,0,FULL
398,11,2411.0,50,4,8,0,FULL
431,12,2412.0,50,1,2,0,FULL
463,13,2413.0,50,1,2,0,FULL
495,14,2414.0,50,5,10,0,FULL
622,18,2418.0,50,4,8,0,FULL
655,19,2419.0,50,4,8,0,FULL
688,20,2420.0,50,1,2,0,FULL
783,23,2423.0,50,19,38,1,FULL
847,25,2425.0,50,12,24,1,FULL
880,26,2426.0,50,13,26,1,FULL
912,27,2427.0,50,18,36,1,FULL
945,28,2428.0,50,19,38,1,FULL
1009,30,2430.0,50,1,2,0,FULL
1230,37,2437.0,50,5,10,0,FULL
1294,39,2439.0,50,1,2,0,FULL
1327,40,2440.0,50,4,8,0,FULL
1485,45,2445.0,50,1,2,0,FULL
1581,48,2448.0,50,1,2,0,FULL
1645,50,2450.0,50,2,4,0,FULL
1677,51,2451.0,50,1,2,0,FULL
1710,52,2452.0,50,1,2,0,FULL
1742,53,2453.0,50,1,2,0,FULL
1995,61,2461.0,50,1,2,0,FULL
2499,77,2477.0,50,18,36,1,FULL
2564,79,2479.0,50,10,20,1,FULL
2596,80,2480.0,50,13,26,1,FULL
2629,81,2481.0,50,18,36,1,FULL
2662,82,2482.0,50,19,38,1,FULL
2694,83,2483.0,50,1,2,0,FULL
2758,85,2485.0,50,1,2,0,FULL
2791,86,2486.0,50,1,2,0,FULL
3483,108,2508.0,50,1,2,0,FULL
5051,0,2400.0,50,1,2,0,FULL
5084,1,2401.0,50,18,36,1,FULL
5116,2,2402.0,50,18,36,1,FULL
5148,3,2403.0,50,15,30,1,FULL
5181,4,2404.0,50,10,20,1,FULL
5214,5,2405.0,50,4,8,0,FULL
5278,7,2407.0,50,2,4,0,FULL
5310,8,2408.0,50,3,6,0,FULL
5374,10,2410.0,50,2,4,0,FULL
5438,12,2412.0,50,4,8,0,FULL
5471,13,2413.0,50,2,4,0,FULL
5504,14,2414.0,50,7,14,0,FULL
5536,15,2415.0,50,5,10,0,FULL
5569,16,2416.0,50,1,2,0,FULL
5601,17,2417.0,50,1,2,0,FULL
5634,18,2418.0,50,4,8,0,FULL
5666,19,2419.0,50,1,2,0,FULL
5699,20,2420.0,50,1,2,0,FULL
5794,23,2423.0,50,15,30,1,FULL
5859,25,2425.0,50,18,36,1,FULL
5892,26,2426.0,50,15,30,1,FULL
5923,27,2427.0,50,11,22,1,FULL
5956,28,2428.0,50,15,30,1,FULL
6178,35,2435.0,50,1,2,0,FULL
6242,37,2437.0,50,2,4,0,FULL
6306,39,2439.0,50,4,8,0,FULL
6558,47,2447.0,50,1,2,0,FULL
6623,49,2449.0,50,3,6,0,FULL
6656,50,2450.0,50,1,2,0,FULL
6687,51,2451.0,50,1,2,0,FULL
6720,52,2452.0,50,2,4,0,FULL
7507,77,2477.0,50,20,40,1,FULL
7572,79,2479.0,50,14,28,1,FULL
7605,80,2480.0,50,11,22,1,FULL
7638,81,2481.0,50,14,28,1,FULL
7669,82,2482.0,50,19,38,1,FULL
7702,83,2483.0,50,1,2,0,FULL
7735,84,2484.0,50,1,2,0,FULL
7768,85,2485.0,50,1,2,0,FULL
8712,115,2515.0,50,1,2,0,FULL
10091,1,2401.0,50,16,32,1,FULL
10123,2,2402.0,50,17,34,1,FULL
10156,3,2403.0,50,19,38,1,FULL
10188,4,2404.0,50,13,26,1,FULL
10285,7,2407.0,50,1,2,0,FULL
10316,8,2408.0,50,4,8,0,FULL
10349,9,2409.0,50,3,6,0,FULL
10382,10,2410.0,50,2,4,0,FULL
10445,12,2412.0,50,3,6,0,FULL
10478,13,2413.0,50,1,2,0,FULL
10511,14,2414.0,50,1,2,0,FULL
10544,15,2415.0,50,3,6,0,FULL
10608,17,2417.0,50,2,4,0,FULL
10640,18,2418.0,50,1,2,0,FULL
10673,19,2419.0,50,1,2,0,FULL
10800,23,2423.0,50,17,34,1,FULL
10864,25,2425.0,50,18,36,1,FULL
10897,26,2426.0,50,13,26,1,FULL
10930,27,2427.0,50,11,22,1,FULL
10962,28,2428.0,50,15,30,1,FULL
11026,30,2430.0,50,1,2,0,FULL
11279,38,2438.0,50,1,2,0,FULL
11374,41,2441.0,50,4,8,0,FULL
11407,42,2442.0,50,1,2,0,FULL
11440,43,2443.0,50,1,2,0,FULL
11567,47,2447.0,50,1,2,0,FULL
11631,49,2449.0,50,1,2,0,FULL
11664,50,2450.0,50,2,4,0,FULL
11727,52,2452.0,50,2,4,0,FULL
11760,53,2453.0,50,1,2,0,FULL
12170,66,2466.0,50,1,2,0,FULL
12328,71,2471.0,50,1,2,0,FULL
12518,77,2477.0,50,12,24,1,FULL
12582,79,2479.0,50,20,40,1,FULL
12615,80,2480.0,50,16,32,1,FULL
12648,81,2481.0,50,10,20,1,FULL
12681,82,2482.0,50,11,22,1,FULL
12776,85,2485.0,50,1,2,0,FULL
15098,1,2401.0,50,13,26,1,FULL
15131,2,2402.0,50,18,36,1,FULL
15164,3,2403.0,50,18,36,1,FULL
15196,4,2404.0,50,15,30,1,FULL
15292,7,2407.0,50,2,4,0,FULL
15355,9,2409.0,50,5,10,0,FULL
15420,11,2411.0,50,1,2,0,FULL
15453,12,2412.0,50,3,6,0,FULL
15548,15,2415.0,50,4,8,0,FULL
15581,16,2416.0,50,1,2,0,FULL
15613,17,2417.0,50,1,2,0,FULL
15645,18,2418.0,50,1,2,0,FULL
15678,19,2419.0,50,3,6,0,FULL
15805,23,2423.0,50,17,34,1,FULL
15869,25,2425.0,50,19,38,1,FULL
15902,26,2426.0,50,13,26,1,FULL
15935,27,2427.0,50,10,20,1,FULL
15968,28,2428.0,50,15,30,1,FULL
16221,36,2436.0,50,1,2,0,FULL
16284,38,2438.0,50,4,8,0,FULL
16380,41,2441.0,50,3,6,0,FULL
16570,47,2447.0,50,1,2,0,FULL
16633,49,2449.0,50,2,4,0,FULL
16698,51,2451.0,50,1,2,0,FULL
16731,52,2452.0,50,2,4,0,FULL
16794,54,2454.0,50,1,2,0,FULL
16890,57,2457.0,50,1,2,0,FULL
16923,58,2458.0,50,1,2,0,FULL
16987,60,2460.0,50,1,2,0,FULL
17460,75,2475.0,50,1,2,0,FULL
17523,77,2477.0,50,13,26,1,FULL
17588,79,2479.0,50,18,36,1,FULL
17620,80,2480.0,50,14,28,1,FULL
17653,81,2481.0,50,10,20,1,FULL
17686,82,2482.0,50,14,28,1,FULL
17751,84,2484.0,50,2,4,0,FULL
17878,88,2488.0,50,1,2,0,FULL
18035,93,2493.0,50,1,2,0,FULL
18477,107,2507.0,50,1,2,0,FULL
18918,121,2521.0,50,1,2,0,FULL
20109,1,2401.0,50,10,20,1,FULL
20141,2,2402.0,50,13,26,1,FULL
20173,3,2403.0,50,18,36,1,FULL
20206,4,2404.0,50,17,34,1,FULL
20239,5,2405.0,50,1,2,0,FULL
20272,6,2406.0,50,4,8,0,FULL
20335,8,2408.0,50,2,4,0,FULL
20368,9,2409.0,50,4,8,0,FULL
20432,11,2411.0,50,11,22,1,FULL
20465,12,2412.0,50,5,10,0,FULL
20529,14,2414.0,50,1,2,0,FULL
20561,15,2415.0,50,1,2,0,FULL
20594,16,2416.0,50,3,6,0,FULL
20627,17,2417.0,50,1,2,0,FULL
20660,18,2418.0,50,7,14,0,FULL
20691,19,2419.0,50,4,8,0,FULL
20724,20,2420.0,50,2,4,0,FULL
20820,23,2423.0,50,16,32,1,FULL
20884,25,2425.0,50,15,30,1,FULL
20917,26,2426.0,50,20,40,1,FULL
20950,27,2427.0,50,21,42,1,FULL
20982,28,2428.0,50,16,32,1,FULL
21203,35,2435.0,50,4,8,0,FULL
21300,38,2438.0,50,4,8,0,FULL
21489,44,2444.0,50,5,10,0,FULL
21584,47,2447.0,50,1,2,0,FULL
21649,49,2449.0,50,2,4,0,FULL
21682,50,2450.0,50,1,2,0,FULL
21714,51,2451.0,50,2,4,0,FULL
21746,52,2452.0,50,1,2,0,FULL
21779,53,2453.0,50,1,2,0,FULL
21812,54,2454.0,50,1,2,0,FULL
21907,57,2457.0,50,1,2,0,FULL
21940,58,2458.0,50,2,4,0,FULL
21972,59,2459.0,50,1,2,0,FULL
22005,60,2460.0,50,1,2,0,FULL
22541,77,2477.0,50,19,38,1,FULL
22605,79,2479.0,50,11,22,1,FULL
22638,80,2480.0,50,12,24,1,FULL
22671,81,2481.0,50,20,40,1,FULL
22704,82,2482.0,50,17,34,1,FULL
22987,91,2491.0,50,1,2,0,FULL
23460,106,2506.0,50,1,2,0,FULL
23996,123,2523.0,50,1,2,0,FULL
25123,1,2401.0,50,18,36,1,FULL
25156,2,2402.0,50,19,38,1,FULL
25189,3,2403.0,50,13,26,1,FULL
25222,4,2404.0,50,9,18,0,FULL
25285,6,2406.0,50,1,2,0,FULL
25350,8,2408.0,50,1,2,0,FULL
25381,9,2409.0,50,4,8,0,FULL
25446,11,2411.0,50,2,4,0,FULL
25479,12,2412.0,50,1,2,0,FULL
25542,14,2414.0,50,1,2,0,FULL
25607,16,2416.0,50,5,10,0,FULL
25639,17,2417.0,50,1,2,0,FULL
25703,19,2419.0,50,4,8,0,FULL
25830,23,2423.0,50,19,38,1,FULL
25863,24,2424.0,50,2,4,0,FULL
25895,25,2425.0,50,13,26,1,FULL
25928,26,2426.0,50,13,26,1,FULL
25961,27,2427.0,50,17,34,1,FULL
25994,28,2428.0,50,9,18,0,FULL
26277,37,2437.0,50,1,2,0,FULL
26310,38,2438.0,50,3,6,0,FULL
26531,45,2445.0,50,1,2,0,FULL
26596,47,2447.0,50,1,2,0,FULL
26629,48,2448.0,50,1,2,0,FULL
26692,50,2450.0,50,1,2,0,FULL
26725,51,2451.0,50,2,4,0,FULL
26758,52,2452.0,50,2,4,0,FULL
26853,55,2455.0,50,1,2,0,FULL
26886,56,2456.0,50,1,2,0,FULL
26918,57,2457.0,50,1,2,0,FULL
26983,59,2459.0,50,1,2,0,FULL
27046,61,2461.0,50,1,2,0,FULL
27457,74,2474.0,50,1,2,0,FULL
27552,77,2477.0,50,15,30,1,FULL
27616,79,2479.0,50,18,36,1,FULL
27649,80,2480.0,50,13,26,1,FULL
27681,81,2481.0,50,9,18,0,FULL
27714,82,2482.0,50,15,30,1,FULL
27747,83,2483.0,50,2,4,0,FULL
27811,85,2485.0,50,1,2,0,FULL
27907,88,2488.0,50,1,2,0,FULL
30103,0,2400.0,50,1,2,0,FULL
30135,1,2401.0,50,12,24,1,FULL
30168,2,2402.0,50,19,38,1,FULL
30200,3,2403.0,50,19,38,1,FULL
30233,4,2404.0,50,17,34,1,FULL
30266,5,2405.0,50,7,14,0,FULL
30299,6,2406.0,50,5,10,0,FULL
30426,10,2410.0,50,3,6,0,FULL
30458,11,2411.0,50,3,6,0,FULL
30491,12,2412.0,50,1,2,0,FULL
30523,13,2413.0,50,3,6,0,FULL
30556,14,2414.0,50,1,2,0,FULL
30588,15,2415.0,50,1,2,0,FULL
30621,16,2416.0,50,4,8,0,FULL
30654,17,2417.0,50,1,2,0,FULL
30717,19,2419.0,50,4,8,0,FULL
30750,20,2420.0,50,1,2,0,FULL
30845,23,2423.0,50,2,4,0,FULL
30910,25,2425.0,50,19,38,1,FULL
30943,26,2426.0,50,20,40,1,FULL
30976,27,2427.0,50,16,32,1,FULL
31008,28,2428.0,50,10,20,1,FULL
31104,31,2431.0,50,2,4,0,FULL
31230,35,2435.0,50,1,2,0,FULL
31263,36,2436.0,50,1,2,0,FULL
31296,37,2437.0,50,1,2,0,FULL
31329,38,2438.0,50,3,6,0,FULL
31362,39,2439.0,50,1,2,0,FULL
31393,40,2440.0,50,2,4,0,FULL
31426,41,2441.0,50,4,8,0,FULL
31459,42,2442.0,50,1,2,0,FULL
31492,43,2443.0,50,1,2,0,FULL
31524,44,2444.0,50,3,6,0,FULL
31557,45,2445.0,50,1,2,0,FULL
31621,47,2447.0,50,1,2,0,FULL
31653,48,2448.0,50,2,4,0,FULL
31686,49,2449.0,50,1,2,0,FULL
31719,50,2450.0,50,1,2,0,FULL
31752,51,2451.0,50,4,8,0,FULL
31783,52,2452.0,50,1,2,0,FULL
31816,53,2453.0,50,4,8,0,FULL
31881,55,2455.0,50,1,2,0,FULL
31913,56,2456.0,50,1,2,0,FULL
31977,58,2458.0,50,1,2,0,FULL
32010,59,2459.0,50,2,4,0,FULL
32043,60,2460.0,50,2,4,0,FULL
32075,61,2461.0,50,1,2,0,FULL
32108,62,2462.0,50,1,2,0,FULL
32203,65,2465.0,50,1,2,0,FULL
32236,66,2466.0,50,1,2,0,FULL
32363,70,2470.0,50,1,2,0,FULL
32396,71,2471.0,50,2,4,0,FULL
32553,76,2476.0,50,2,4,0,FULL
32586,77,2477.0,50,17,34,1,FULL
32651,79,2479.0,50,12,24,1,FULL
32684,80,2480.0,50,17,34,1,FULL
32716,81,2481.0,50,18,36,1,FULL
32749,82,2482.0,50,17,34,1,FULL
32813,84,2484.0,50,1,2,0,FULL
33003,90,2490.0,50,1,2,0,FULL
35136,0,2400.0,50,1,2,0,FULL
35169,1,2401.0,50,18,36,1,FULL
35202,2,2402.0,50,13,26,1,FULL
35234,3,2403.0,50,10,20,1,FULL
35266,4,2404.0,50,15,30,1,FULL
35331,6,2406.0,50,4,8,0,FULL
35363,7,2407.0,50,1,2,0,FULL
35427,9,2409.0,50,3,6,0,FULL
35491,11,2411.0,50,1,2,0,FULL
35524,12,2412.0,50,4,8,0,FULL
35588,14,2414.0,50,1,2,0,FULL
35620,15,2415.0,50,3,6,0,FULL
35685,17,2417.0,50,1,2,0,FULL
35748,19,2419.0,50,4,8,0,FULL
35781,20,2420.0,50,1,2,0,FULL
35876,23,2423.0,50,20,40,1,FULL
35941,25,2425.0,50,12,24,1,FULL
35974,26,2426.0,50,16,32,1,FULL
36006,27,2427.0,50,20,40,1,FULL
36039,28,2428.0,50,20,40,1,FULL
36198,33,2433.0,50,1,2,0,FULL
36230,34,2434.0,50,1,2,0,FULL
36262,35,2435.0,50,1,2,0,FULL
36610,46,2446.0,50,1,2,0,FULL
36642,47,2447.0,50,1,2,0,FULL
36707,49,2449.0,50,1,2,0,FULL
36739,50,2450.0,50,2,4,0,FULL
36771,51,2451.0,50,2,4,0,FULL
36804,52,2452.0,50,1,2,0,FULL
36837,53,2453.0,50,1,2,0,FULL
36932,56,2456.0,50,1,2,0,FULL
36997,58,2458.0,50,1,2,0,FULL
37060,60,2460.0,50,1,2,0,FULL
37093,61,2461.0,50,1,2,0,FULL
37346,69,2469.0,50,1,2,0,FULL
37599,77,2477.0,50,17,34,1,FULL
37663,79,2479.0,50,15,30,1,FULL
37695,80,2480.0,50,10,20,1,FULL
37728,81,2481.0,50,14,28,1,FULL
37761,82,2482.0,50,19,38,1,FULL
37857,85,2485.0,50,1,2,0,FULL
40178,1,2401.0,50,19,38,1,FULL
40211,2,2402.0,50,18,36,1,FULL
40244,3,2403.0,50,16,32,1,FULL
40276,4,2404.0,50,9,18,0,FULL
40341,6,2406.0,50,4,8,0,FULL
40404,8,2408.0,50,1,2,0,FULL
40437,9,2409.0,50,4,8,0,FULL
40501,11,2411.0,50,1,2,0,FULL
40534,12,2412.0,50,1,2,0,FULL
40660,16,2416.0,50,4,8,0,FULL
40693,17,2417.0,50,1,2,0,FULL
40758,19,2419.0,50,3,6,0,FULL
40790,20,2420.0,50,1,2,0,FULL
40886,23,2423.0,50,8,16,0,FULL
40919,24,2424.0,50,1,2,0,FULL
40950,25,2425.0,50,14,28,1,FULL
40983,26,2426.0,50,10,20,1,FULL
41016,27,2427.0,50,15,30,1,FULL
41049,28,2428.0,50,13,26,1,FULL
41113,30,2430.0,50,1,2,0,FULL
41712,49,2449.0,50,1,2,0,FULL
41744,50,2450.0,50,3,6,0,FULL
41777,51,2451.0,50,2,4,0,FULL
41809,52,2452.0,50,2,4,0,FULL
42031,59,2459.0,50,1,2,0,FULL
42063,60,2460.0,50,1,2,0,FULL
42096,61,2461.0,50,1,2,0,FULL
42600,77,2477.0,50,18,36,1,FULL
42664,79,2479.0,50,10,20,1,FULL
42697,80,2480.0,50,13,26,1,FULL
42730,81,2481.0,50,17,34,1,FULL
42763,82,2482.0,50,17,34,1,FULL
45179,1,2401.0,50,18,36,1,FULL
45212,2,2402.0,50,11,22,1,FULL
45244,3,2403.0,50,9,18,0,FULL
45308,5,2405.0,50,1,2,0,FULL
45341,6,2406.0,50,1,2,0,FULL
45374,7,2407.0,50,4,8,0,FULL
45437,9,2409.0,50,1,2,0,FULL
45470,10,2410.0,50,5,10,0,FULL
45503,11,2411.0,50,1,2,0,FULL
45566,13,2413.0,50,4,8,0,FULL
45599,14,2414.0,50,2,4,0,FULL
45632,15,2415.0,50,2,4,0,FULL
45665,16,2416.0,50,4,8,0,FULL
45698,17,2417.0,50,1,2,0,FULL
45730,18,2418.0,50,2,4,0,FULL
45762,19,2419.0,50,4,8,0,FULL
45827,21,2421.0,50,1,2,0,FULL
45891,23,2423.0,50,19,38,1,FULL
45955,25,2425.0,50,11,22,1,FULL
45987,26,2426.0,50,12,24,1,FULL
46020,27,2427.0,50,21,42,1,FULL
46053,28,2428.0,50,20,40,1,FULL
46338,37,2437.0,50,2,4,0,FULL
46653,47,2447.0,50,1,2,0,FULL
46716,49,2449.0,50,1,2,0,FULL
46749,50,2450.0,50,2,4,0,FULL
46782,51,2451.0,50,2,4,0,FULL
46815,52,2452.0,50,1,2,0,FULL
46848,53,2453.0,50,1,2,0,FULL
46943,56,2456.0,50,1,2,0,FULL
47007,58,2458.0,50,1,2,0,FULL
47385,70,2470.0,50,1,2,0,FULL
47481,73,2473.0,50,1,2,0,FULL
47577,76,2476.0,50,1,2,0,FULL
47609,77,2477.0,50,18,36,1,FULL
47673,79,2479.0,50,12,24,1,FULL
47706,80,2480.0,50,9,18,0,FULL
47738,81,2481.0,50,15,30,1,FULL
47771,82,2482.0,50,19,38,1,FULL
47804,83,2483.0,50,1,2,0,FULL
47868,85,2485.0,50,1,2,0,FULL
48184,95,2495.0,50,1,2,0,FULL
50191,1,2401.0,50,19,38,1,FULL
50224,2,2402.0,50,18,36,1,FULL
50256,3,2403.0,50,15,30,1,FULL
50289,4,2404.0,50,13,26,1,FULL
50322,5,2405.0,50,1,2,0,FULL
50385,7,2407.0,50,3,6,0,FULL
50418,8,2408.0,50,1,2,0,FULL
50483,10,2410.0,50,5,10,0,FULL
50546,12,2412.0,50,2,4,0,FULL
50579,13,2413.0,50,4,8,0,FULL
50612,14,2414.0,50,1,2,0,FULL
50644,15,2415.0,50,2,4,0,FULL
50677,16,2416.0,50,4,8,0,FULL
50741,18,2418.0,50,1,2,0,FULL
50837,21,2421.0,50,1,2,0,FULL
50900,23,2423.0,50,17,34,1,FULL
50933,24,2424.0,50,1,2,0,FULL
50966,25,2425.0,50,20,40,1,FULL
50999,26,2426.0,50,14,28,1,FULL
51032,27,2427.0,50,10,20,1,FULL
51064,28,2428.0,50,15,30,1,FULL
51254,34,2434.0,50,1,2,0,FULL
51287,35,2435.0,50,1,2,0,FULL
51351,37,2437.0,50,1,2,0,FULL
51415,39,2439.0,50,4,8,0,FULL
51479,41,2441.0,50,1,2,0,FULL
51668,47,2447.0,50,1,2,0,FULL
51733,49,2449.0,50,2,4,0,FULL
51766,50,2450.0,50,1,2,0,FULL
51829,52,2452.0,50,2,4,0,FULL
51924,55,2455.0,50,1,2,0,FULL
51989,57,2457.0,50,1,2,0,FULL
52022,58,2458.0,50,1,2,0,FULL
52620,77,2477.0,50,10,20,1,FULL
52684,79,2479.0,50,18,36,1,FULL
52717,80,2480.0,50,15,30,1,FULL
52750,81,2481.0,50,9,18,0,FULL
52783,82,2482.0,50,12,24,1,FULL
52878,85,2485.0,50,1,2,0,FULL
55668,2,2402.0,50,12,24,1,BLE
55701,26,2426.0,50,19,38,1,BLE
55734,80,2480.0,50,16,32,1,BLE
56767,2,2402.0,50,13,26,1,BLE
56800,26,2426.0,50,18,36,1,BLE
56832,80,2480.0,50,17,34,1,BLE
57865,2,2402.0,50,13,26,1,BLE
57897,26,2426.0,50,19,38,1,BLE
57930,80,2480.0,50,15,30,1,BLE
58962,2,2402.0,50,17,34,1,BLE
58995,26,2426.0,50,16,32,1,BLE
59028,80,2480.0,50,18,36,1,BLE
60561,2,2402.0,50,18,36,1,BT
60594,3,2403.0,50,18,36,1,BT
60626,4,2404.0,50,16,32,1,BT
60659,5,2405.0,50,2,4,0,BT
60691,6,2406.0,50,5,10,0,BT
60724,7,2407.0,50,4,8,0,BT
60756,8,2408.0,50,1,2,0,BT
60789,9,2409.0,50,1,2,0,BT
60822,10,2410.0,50,4,8,0,BT
60854,11,2411.0,50,1,2,0,BT
60887,12,2412.0,50,7,14,0,BT
60919,13,2413.0,50,6,12,0,BT
61015,16,2416.0,50,2,4,0,BT
61111,19,2419.0,50,2,4,0,BT
61174,21,2421.0,50,1,2,0,BT
61239,23,2423.0,50,5,10,0,BT
61272,24,2424.0,50,1,2,0,BT
61303,25,2425.0,50,20,40,1,BT
61336,26,2426.0,50,18,36,1,BT
61369,27,2427.0,50,13,26,1,BT
61402,28,2428.0,50,12,24,1,BT
61718,38,2438.0,50,2,4,0,BT
61750,39,2439.0,50,2,4,0,BT
61783,40,2440.0,50,1,2,0,BT
61815,41,2441.0,50,1,2,0,BT
61848,42,2442.0,50,3,6,0,BT
61912,44,2444.0,50,1,2,0,BT
62008,47,2447.0,50,1,2,0,BT
62071,49,2449.0,50,2,4,0,BT
62104,50,2450.0,50,1,2,0,BT
62137,51,2451.0,50,2,4,0,BT
62200,53,2453.0,50,1,2,0,BT
62233,54,2454.0,50,1,2,0,BT
